file                     format  type    num_seqs        sum_len  min_len  avg_len  max_len
01_017_A_S15.R1.fq.gz    FASTQ   DNA   10,058,878  1,066,541,847       35      106      151
01_018_A_S16.R1.fq.gz    FASTQ   DNA      437,911     48,652,777       35    111.1      151
01_020_A_S17.R1.fq.gz    FASTQ   DNA    1,348,901    146,477,005       35    108.6      151
01_021_A_S18.R1.fq.gz    FASTQ   DNA   10,996,765  1,209,867,752       35      110      151
01_021_B1_S24.R1.fq.gz   FASTQ   DNA   11,946,005  1,304,711,088       35    109.2      151
01_021_B2_S25.R1.fq.gz   FASTQ   DNA    5,799,096    652,537,105       35    112.5      151
01_021_B3_S26.R1.fq.gz   FASTQ   DNA      606,933     66,742,845       35      110      151
01_022_A_S19.R1.fq.gz    FASTQ   DNA    1,003,149    109,837,775       35    109.5      151
01_023_A_S20.R1.fq.gz    FASTQ   DNA    1,870,035    201,841,875       35    107.9      151
01_023_B_S27.R1.fq.gz    FASTQ   DNA    1,479,073    160,398,289       35    108.4      151
01_024_A1_S21.R1.fq.gz   FASTQ   DNA    5,776,323    657,720,970       35    113.9      151
01_024_A2_S22.R1.fq.gz   FASTQ   DNA    7,839,782    856,199,585       35    109.2      151
01_025_A_S23.R1.fq.gz    FASTQ   DNA    3,803,343    416,712,715       35    109.6      151
01_025_B2_S28.R1.fq.gz   FASTQ   DNA   27,704,190  3,155,432,180       35    113.9      151
01_026_B_S29.R1.fq.gz    FASTQ   DNA   10,083,959  1,096,422,733       35    108.7      151
01_02_A_S1.R1.fq.gz      FASTQ   DNA    9,470,273  1,052,162,445       35    111.1      151
01_03_A_S2.R1.fq.gz      FASTQ   DNA      995,105    106,723,185       35    107.2      151
01_04_A_S3.R1.fq.gz      FASTQ   DNA      830,059     91,162,172       35    109.8      151
01_05_A_S4.R1.fq.gz      FASTQ   DNA      421,716     43,946,102       35    104.2      151
01_06_A_S5.R1.fq.gz      FASTQ   DNA    4,510,322    417,094,021       35     92.5      151
01_07_A_S6.R1.fq.gz      FASTQ   DNA    1,880,465    205,651,669       35    109.4      151
01_08_A_S7.R1.fq.gz      FASTQ   DNA    5,459,561    627,927,096       35      115      151
01_10_A_S8.R1.fq.gz      FASTQ   DNA    1,581,052    173,224,641       35    109.6      151
01_12_A_S9.R1.fq.gz      FASTQ   DNA    3,017,700    348,745,991       35    115.6      151
01_13_A_S10.R1.fq.gz     FASTQ   DNA      154,613     16,267,385       35    105.2      151
01_13_B1_S12.R1.fq.gz    FASTQ   DNA    7,584,900    837,628,306       35    110.4      151
01_15_A_S11.R1.fq.gz     FASTQ   DNA    1,539,052    174,303,934       35    113.3      151
