# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL1	ABL1	NM_005157.6	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ABL1	ABL1	NM_007313.2	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ABL2	ABL2	NM_001136000.3	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ABL2	ABL2	NM_001136001.1	protein_coding	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0
ABL2	ABL2	NM_001168236.2	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0
ABL2	ABL2	NM_001168237.2	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ABL2	ABL2	NM_001168238.2	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ABL2	ABL2	NM_001168239.2	protein_coding	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0
ABL2	ABL2	NM_005158.5	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0
ABL2	ABL2	NM_007314.4	protein_coding	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0
ABRAXAS1	ABRAXAS1	NM_001345962.2	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ABRAXAS1	ABRAXAS1	NM_139076.3	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
APC	APC	NM_000038.6	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001127510.3	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001127511.3	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354895.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354896.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354897.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354898.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354899.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354900.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354901.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354902.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354903.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354904.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354905.2	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0
APC	APC	NM_001354906.2	protein_coding	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0
ARID1B	ARID1B	NM_001346813.1	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ARID1B	ARID1B	NM_001363725.2	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ARID1B	ARID1B	NM_001371656.1	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ARID1B	ARID1B	NM_017519.2	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ARID1B	ARID1B	NM_020732.3	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ATM	ATM	NM_000051.3	protein_coding	0	1	4	3	0	0	1	0	0	3	3	0	0	1	0	1	0
ATM	ATM	NM_001351834.2	protein_coding	0	1	4	3	0	0	1	0	0	3	3	0	0	1	0	1	0
ATM	ATM	NM_001351835.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ATM	NM_001351836.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BAP1	BAP1	NM_004656.4	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
BCOR	BCOR	NM_001123383.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCOR	BCOR	NM_001123384.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCOR	BCOR	NM_001123385.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCOR	BCOR	NM_017745.6	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BLM	BLM	NM_000057.4	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BLM	BLM	NM_001287246.2	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BLM	BLM	NM_001287247.2	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BLM	BLM	NM_001287248.2	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0
BRAF	BRAF	NM_001354609.2	protein_coding	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0
BRAF	BRAF	NM_001374244.1	protein_coding	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0
BRAF	BRAF	NM_001374258.1	protein_coding	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0
BRAF	BRAF	NM_004333.6	protein_coding	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0
BRAF	BRAF	NR_148928.2		0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0
BRCA1	BRCA1	NM_007294.4	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0
BRCA1	BRCA1	NM_007297.4	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0
BRCA1	BRCA1	NM_007298.3	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0
BRCA1	BRCA1	NM_007299.4	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0
BRCA1	BRCA1	NM_007300.4	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0
BRCA1	BRCA1	NR_027676.2		0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0
BRCA2	BRCA2	NM_000059.3	protein_coding	0	3	3	1	0	0	0	0	0	1	3	0	0	0	0	3	0
C11orf65	C11orf65	NM_001330368.2	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
C11orf65	C11orf65	NM_001351110.2	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
C11orf65	C11orf65	NR_147053.2		0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
CCDC138	CCDC138	NM_001303105.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001303106.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC138	CCDC138	NM_001351544.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
