# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL1	ABL1	NM_005157.6	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ABL1	ABL1	NM_007313.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ABL2	ABL2	NM_001136000.3	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136001.1	protein_coding	0	0	0	8	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168236.2	protein_coding	0	0	1	7	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168237.2	protein_coding	0	0	1	7	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168238.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168239.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_005158.5	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_007314.4	protein_coding	0	0	2	6	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0
ABRAXAS1	ABRAXAS1	NM_001345962.2	protein_coding	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ABRAXAS1	ABRAXAS1	NM_139076.3	protein_coding	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
AKT1	AKT1	NM_001014431.2	protein_coding	0	1	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
AKT1	AKT1	NM_001014432.1	protein_coding	0	1	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
AKT1	AKT1	NM_005163.2	protein_coding	0	1	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
ALK	ALK	NM_001353765.1	protein_coding	0	2	2	4	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	1	2
ALK	ALK	NM_004304.5	protein_coding	0	9	3	5	1	0	0	0	0	0	0	0	5	3	0	0	0	1	0	0	8	0
APC	APC	NM_000038.6	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001127510.3	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001127511.3	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354895.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354896.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354897.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354898.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354899.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354900.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
APC	APC	NM_001354901.2	protein_coding	2	10	6	0	0	0	0	0	0	0	0	2	2	6	0	0	0	2	0	2	8	0
